claim	canonical_value	certificate_pdf	proof_packet	replay_v1_1	embedded_v2_audit	release_notes	scope_file	reproduce	manifest	status	note
Global coercivity theorem	1/2 I <= W2(c*) <= 2 I on [0,H2]	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	MATCH	NOT_STATED	STATUS_MATCH	PASS	Same fixed-scope theorem.
H2	1260233493541651302622586638887192915605138797326	MATCH	MATCH	MATCH	MATCH	NOT_STATED	MATCH	NOT_STATED	NOT_STATED	PASS	
Fixed shifts	(1,0),(3,0),(0,1),(-1,1),(-3,1)	MATCH	MATCH	MATCH	MATCH	NOT_STATED	MATCH	NOT_STATED	NOT_STATED	PASS	
Transition	3^96/4^76 -> 3^101/4^80	MATCH	MATCH	MATCH	MATCH	NOT_STATED	MATCH	NOT_STATED	NOT_STATED	PASS	
Source operator	W1=I-(127/768)D_(s1,3)	MATCH	MATCH	MATCH	MATCH	NOT_STATED	MATCH	NOT_STATED	NOT_STATED	PASS	
Target uniqueness	optimal target face dimension 0	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	NOT_STATED	EXPECTED_DECISION_MATCH	STATUS_MATCH	PASS	
Auxiliary completion status	91+105+225=421; nonunique	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	NOT_STATED	NOT_STATED	STATUS_MATCH	PASS	
State matrix status	14 PD; 2 PSD active lower transitions, each nullity 1	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	NOT_STATED	NOT_STATED	NOT_STATED	PASS	
Finite constraints	44 strict scalar inequalities	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	NOT_STATED	NOT_STATED	NOT_STATED	PASS	
Rank certificate	rank(A_K)=29; rank([A_K A_c])=34	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	NOT_STATED	NOT_STATED	NOT_STATED	PASS	
Published objective interval	(0.0045959787401878324127301284818766727889572120896095090758308523957239403075589880157367981561252398505898223273517246222,0.00459597874018783241273012848187667278895721208960950907583085239572394030755898801573679815612523989261333858994889408665)	MATCH	CONSISTENT_STRONGER_NESTED_INTERVAL	CONSISTENT_CERTIFIED_OVERLAP_AND_ENCLOSURE	MATCH_REPLAY	UNCHANGED_REFERENCE	NOT_STATED	NOT_STATED	NOT_STATED	PASS	The PDF publishes a conservative enclosure; proof/replay retain tighter compatible bounds.
Improvement bound	1.1742526364832112540441734819190401967290896095e-6	MATCH	CONSISTENT_STRONGER_BOUND	CONSISTENT_STRONGER_BOUND	MATCH_REPLAY	UNCHANGED_REFERENCE	NOT_STATED	NOT_STATED	NOT_STATED	PASS	
Scope limitation	No assertion for other intervals, shifts, coefficients, source operators, or transition architectures.	MATCH	MATCH	MATCH	MATCH	UNCHANGED_REFERENCE	MATCH	NOT_STATED	STATUS_MATCH	PASS	
Root variable alias	lambda -> lam at index 36; lexical only	MATCH	MATCH	MATCH	MATCH	NOT_STATED	NOT_STATED	MATCH	NOT_STATED	PASS	
Verifier decision	A. CLEAN-ROOM GLOBAL CERTIFICATE FULLY REPRODUCED AFTER SOURCE REPAIR	MATCH	SUPPORTS	MATCH	MATCH	UNCHANGED_REFERENCE	NOT_STATED	MATCH	STATUS_MATCH	PASS	
