filename	actual_bytes	manifest_bytes	actual_sha256	manifest_sha256	sha256sums_sha256	status
Global_Multirow_Coercivity_Certificate.pdf	95441	95441	d00d8855e85e72827f9c7de133ab93a76d216f14bbc4919c32e5ffcf2cd7b7fe	d00d8855e85e72827f9c7de133ab93a76d216f14bbc4919c32e5ffcf2cd7b7fe	d00d8855e85e72827f9c7de133ab93a76d216f14bbc4919c32e5ffcf2cd7b7fe	PASS
MANIFEST.json	8687		43f54003a432b3ad0f966d125bc4310bb449af8b8e1cd99958f5c75f62d6f45e		43f54003a432b3ad0f966d125bc4310bb449af8b8e1cd99958f5c75f62d6f45e	PASS
RELEASE_NOTES.txt	1414	1414	609334c36d22aa47f21c415be306f646e17970670c90927aad93ea268c2887eb	609334c36d22aa47f21c415be306f646e17970670c90927aad93ea268c2887eb	609334c36d22aa47f21c415be306f646e17970670c90927aad93ea268c2887eb	PASS
REPRODUCE.txt	3584	3584	98b9df6ebe418ad1a5abdeed1253aad0df2b3687fc975518de2efa2a5516892a	98b9df6ebe418ad1a5abdeed1253aad0df2b3687fc975518de2efa2a5516892a	98b9df6ebe418ad1a5abdeed1253aad0df2b3687fc975518de2efa2a5516892a	PASS
SCOPE_AND_LIMITATIONS.txt	843	843	713784618bea169c24af822ecee277480db47646e437ef3ba278448ccfd2e68a	713784618bea169c24af822ecee277480db47646e437ef3ba278448ccfd2e68a	713784618bea169c24af822ecee277480db47646e437ef3ba278448ccfd2e68a	PASS
SHA256SUMS.txt	1610		1b38d577ff276346ec028fc05e538e93659548e537e868f0bbd115871836060a			PASS_SELF_REFERENCE_EXCLUDED
active_lower15_schur_completion_packet.zip	810953	810953	1f7abc5024948777850335f7cb422c58f60c9efa64e9763038d4454b5ee1c16c	1f7abc5024948777850335f7cb422c58f60c9efa64e9763038d4454b5ee1c16c	1f7abc5024948777850335f7cb422c58f60c9efa64e9763038d4454b5ee1c16c	PASS
clean_room_global_certificate_verification.zip	40589	40589	f076efdcc0c53a72ff4fedd2049cb40fb893faa504537d6e17f8577208384a26	f076efdcc0c53a72ff4fedd2049cb40fb893faa504537d6e17f8577208384a26	f076efdcc0c53a72ff4fedd2049cb40fb893faa504537d6e17f8577208384a26	PASS
clean_room_global_certificate_verification_v2.zip	46792	46792	8fb766a63858d502c19b9dc2121df76db249d05af417fc0106a70371233e3d9a	8fb766a63858d502c19b9dc2121df76db249d05af417fc0106a70371233e3d9a	8fb766a63858d502c19b9dc2121df76db249d05af417fc0106a70371233e3d9a	PASS
exact_source_functional_source_packet.zip	5092	5092	bdced7e61685cd78730cf94cf325f597a48fa76ad6b244c3b1efc00e6cb18fdb	bdced7e61685cd78730cf94cf325f597a48fa76ad6b244c3b1efc00e6cb18fdb	bdced7e61685cd78730cf94cf325f597a48fa76ad6b244c3b1efc00e6cb18fdb	PASS
final_global_multirow_coercivity_proof_packet.zip	235956	235956	cce1bde9bb54f2bcd1e7d2be61c91256ce9cbd8c529ae1000e1dd2d948df2e87	cce1bde9bb54f2bcd1e7d2be61c91256ce9cbd8c529ae1000e1dd2d948df2e87	cce1bde9bb54f2bcd1e7d2be61c91256ce9cbd8c529ae1000e1dd2d948df2e87	PASS
full_finite_state_primal_feasibility_packet.zip	1029102	1029102	86475b452e86e93047937cd267551bffac7a08c80c87f8df64623bbc2ea14974	86475b452e86e93047937cd267551bffac7a08c80c87f8df64623bbc2ea14974	86475b452e86e93047937cd267551bffac7a08c80c87f8df64623bbc2ea14974	PASS
pdf_validation_report.json	2451	2451	b7e4637bb075baf11e045f0f3ed53c47094709561d943783460a5d6d324054f6	b7e4637bb075baf11e045f0f3ed53c47094709561d943783460a5d6d324054f6	b7e4637bb075baf11e045f0f3ed53c47094709561d943783460a5d6d324054f6	PASS
primal_anchored_rotation_root_isolation.zip	100434	100434	40164cc6d65601053ae30dfd63fad7bc6cd662141d4e28b2ebd47774571f0fc7	40164cc6d65601053ae30dfd63fad7bc6cd662141d4e28b2ebd47774571f0fc7	40164cc6d65601053ae30dfd63fad7bc6cd662141d4e28b2ebd47774571f0fc7	PASS
primal_schur_branch_packet.zip	16100	16100	50817a80ec3e13832e682e2215c2d511458542101d21ce8474eac0e6ba6489a1	50817a80ec3e13832e682e2215c2d511458542101d21ce8474eac0e6ba6489a1	50817a80ec3e13832e682e2215c2d511458542101d21ce8474eac0e6ba6489a1	PASS
requirements-lock-v2.txt	43	43	3cfa900453d75bf1802ed1bb69314903c62723f0de0b63ccb4020562e4b1ed85	3cfa900453d75bf1802ed1bb69314903c62723f0de0b63ccb4020562e4b1ed85	3cfa900453d75bf1802ed1bb69314903c62723f0de0b63ccb4020562e4b1ed85	PASS
verify_global_certificate_v2.py	39224	39224	6b5b4a83ceeba49f1843c5de5bb999835855a631d80a1c0b98e6a8f3a318586d	6b5b4a83ceeba49f1843c5de5bb999835855a631d80a1c0b98e6a8f3a318586d	6b5b4a83ceeba49f1843c5de5bb999835855a631d80a1c0b98e6a8f3a318586d	PASS
